"";"id";"Le";"L";"LX";"LXG1";"LXG2";"DIFN";"MTA.ell";"x";"VZA";"rings";"azimuths";"mask";"lens";"channel";"stretch";"gamma";"zonal";"method";"thd"
"516";"GSAH1515.JPG";2,7;2,7;1;1;1;19,256;85;0,13;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"517";"GSAH1516.JPG";3,21;3,21;1;1;1;14,08;70;0,57;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"100"
"518";"GSAH1517.JPG";3,03;3,03;1;1;1;15,773;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"103"
"519";"GSAH1518.JPG";3,21;3,21;1;1;1;14,097;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"106"
"520";"GSAH1519.JPG";3,25;3,25;1;1;1;13,748;67;0,66;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"103"
"521";"GSAH1520.JPG";3,35;3,35;1;1;1;12,971;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"100"
"522";"GSAH1521.JPG";2,95;2,95;1;1;1;16,558;58;1;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"107"
"523";"GSAH1522.JPG";2,84;2,84;1;1;1;17,645;63;0,79;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"110"
"524";"GSAH1523.JPG";2,89;2,89;1;1;1;17,166;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"106"
"525";"GSAH1524.JPG";2,89;2,89;1;1;1;17,124;86;0,11;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"103"
"526";"GSAH1525.JPG";3,05;3,05;1;1;1;15,525;70;0,58;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"109"
"527";"GSAH1526.JPG";3;3;1;1;1;16;69;0,6;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"528";"GSAH1527.JPG";2,98;2,98;1;1;1;16,191;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"529";"GSAH1528.JPG";3;3;1;1;1;16,023;81;0,23;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"530";"GSAH1529.JPG";2,98;2,98;1;1;1;16,194;77;0,34;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"531";"GSAH1530.JPG";3,49;3,49;1;1;1;11,855;76;0,38;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"532";"GSAH1531.JPG";3,2;3,2;1;1;1;14,181;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"113"
"533";"GSAH1532.JPG";2,46;2,46;1;1;1;22,3;77;0,34;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"133"
"534";"GSAH1533.JPG";3,22;3,22;1;1;1;13,995;45;1,62;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"535";"GSAH1534.JPG";3,34;3,34;1;1;1;13,015;86;0,11;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"114"
"536";"GSAH1535.JPG";3,75;3,75;1;1;1;10,111;70;0,57;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"117"
"537";"GSAH1536.JPG";3,92;3,92;1;1;1;9,157;67;0,67;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"110"
"538";"GSAH1537.JPG";3,49;3,49;1;1;1;11,904;81;0,23;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"124"
"539";"GSAH1538.JPG";3,6;3,6;1;1;1;11,115;79;0,3;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"120"
"540";"GSAH1539.JPG";3,89;3,89;1;1;1;9,321;86;0,1;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"111"
"541";"GSAH1540.JPG";3,88;3,88;1;1;1;9,392;64;0,76;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"103"
"542";"GSAH1541.JPG";2,61;2,61;1;1;1;20,347;81;0,23;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"129"
"543";"GSAH1542.JPG";2,5;2,5;1;1;1;21,797;64;0,76;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"544";"GSAH1543.JPG";1,85;1,85;1;1;1;32,358;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"130"
"545";"GSAH1544.JPG";2,49;2,49;1;1;1;21,903;64;0,76;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"127"
"546";"GSAH1545.JPG";3,78;3,78;1;1;1;9,961;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"103"
"547";"GSAH1546.JPG";3,52;3,52;1;1;1;11,658;78;0,33;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"107"
"548";"GSAH1547.JPG";3,57;3,57;1;1;1;11,286;64;0,78;"35";1;1;"2880_1440_1438";"orthographic";"3";"FALSE";"2.2";"FALSE";"Otsu";"105"
