"";"Pic_Name";"eff_LAI";"act_LAI";"Gap_Frac";"Mean_Leaf_Angle";"Rings";"Azimuths"
"1342";"GSAH2341.JPG";2,72;2,72;18,952;76;1;1
"1343";"GSAH2342.JPG";2,96;2,96;16,463;69;1;1
"1344";"GSAH2343.JPG";2,58;2,58;20,76;76;1;1
"1345";"GSAH2344.JPG";2,92;2,92;16,858;68;1;1
"1346";"GSAH2345.JPG";2,61;2,61;20,362;14;1;1
"1347";"GSAH2346.JPG";3,03;3,03;15,755;81;1;1
"1348";"GSAH2347.JPG";2,78;2,78;18,296;68;1;1
"1349";"GSAH2348.JPG";2,48;2,48;22,014;70;1;1
"1350";"GSAH2349.JPG";2,84;2,84;17,616;70;1;1
"1351";"GSAH2350.JPG";3,35;3,35;12,929;64;1;1
"1352";"GSAH2351.JPG";2,96;2,96;16,403;70;1;1
"1353";"GSAH2352.JPG";2,93;2,93;16,683;64;1;1
"1354";"GSAH2353.JPG";3,02;3,02;15,805;82;1;1
"1355";"GSAH2354.JPG";3;3;15,986;68;1;1
"1356";"GSAH2355.JPG";3,02;3,02;15,808;70;1;1
"1357";"GSAH2356.JPG";2,91;2,91;16,979;67;1;1
"1358";"GSAH2357.JPG";3,1;3,1;15,039;81;1;1
"1359";"GSAH2358.JPG";3,84;3,84;9,604;41;1;1
"1360";"GSAH2359.JPG";2,46;2,46;22,291;86;1;1
"1361";"GSAH2360.JPG";2,01;2,01;29,253;80;1;1
"1362";"GSAH2361.JPG";1,69;1,69;35,587;45;1;1
"1363";"GSAH2362.JPG";1,56;1,56;38,7;70;1;1
"1364";"GSAH2363.JPG";1,46;1,46;40,973;77;1;1
"1365";"GSAH2364.JPG";1,32;1,32;44,694;77;1;1
"1366";"GSAH2365.JPG";1,45;1,45;41,147;68;1;1
"1367";"GSAH2366.JPG";1,3;1,3;45,348;86;1;1
"1368";"GSAH2367.JPG";2,64;2,64;19,954;67;1;1
"1369";"GSAH2368.JPG";2,36;2,36;23,625;78;1;1
"1370";"GSAH2369.JPG";2,59;2,59;20,535;81;1;1
"1371";"GSAH2370.JPG";2,19;2,19;26,232;77;1;1
"1372";"GSAH2371.JPG";2,34;2,34;23,999;68;1;1
"1373";"GSAH2372.JPG";3,43;3,43;12,317;24;1;1
"1374";"GSAH2373.JPG";3,39;3,39;12,665;13;1;1
"1375";"GSAH2374.JPG";3,74;3,74;10,203;80;1;1
"1376";"GSAH2375.JPG";4,4;4,4;6,821;75;1;1
"1377";"GSAH2376.JPG";5,03;5,03;4,645;81;1;1
"1378";"GSAH2377.JPG";6,28;6,28;2,168;69;1;1
"1379";"GSAH2378.JPG";7,9;7,9;0,804;76;1;1
"1380";"GSAH2379.JPG";5,53;5,53;3,42;52;1;1
"1381";"GSAH2380.JPG";6,37;6,37;2,048;77;1;1
"1382";"GSAH2381.JPG";6,12;6,12;2,385;77;1;1
"1383";"GSAH2382.JPG";5,91;5,91;2,715;76;1;1
"1384";"GSAH2383.JPG";5,36;5,36;3,788;82;1;1
"1385";"GSAH2384.JPG";4,98;4,98;4,798;57;1;1
"1386";"GSAH2385.JPG";3,78;3,78;9,957;78;1;1
"1387";"GSAH2386.JPG";4,02;4,02;8,623;79;1;1
"1388";"GSAH2387.JPG";3,33;3,33;13,135;86;1;1
"1389";"GSAH2388.JPG";3,64;3,64;10,872;78;1;1
"1390";"GSAH2389.JPG";3,09;3,09;15,136;70;1;1
"1391";"GSAH2390.JPG";2,96;2,96;16,374;46;1;1
"1392";"GSAH2391.JPG";3,28;3,28;13,531;70;1;1
"1393";"GSAH2392.JPG";2,9;2,9;16,983;78;1;1
"1394";"GSAH2393.JPG";3,23;3,23;13,959;45;1;1
"1395";"GSAH2394.JPG";3,6;3,6;11,136;77;1;1
"1396";"GSAH2395.JPG";3,46;3,46;12,099;69;1;1
"1397";"GSAH2396.JPG";3,06;3,06;15,444;67;1;1
"1398";"GSAH2397.JPG";2,87;2,87;17,313;81;1;1
"1399";"GSAH2398.JPG";3,12;3,12;14,852;81;1;1
"1400";"GSAH2399.JPG";4,03;4,03;8,533;65;1;1
"1401";"GSAH2400.JPG";3,9;3,9;9,246;77;1;1
"1402";"GSAH2401.JPG";3,49;3,49;11,874;68;1;1
"1403";"GSAH2402.JPG";3,46;3,46;12,129;13;1;1
"1404";"GSAH2403.JPG";3,64;3,64;10,819;64;1;1
"1405";"GSAH2404.JPG";3,64;3,64;10,871;78;1;1
"1406";"GSAH2405.JPG";3,58;3,58;11,224;77;1;1
"1407";"GSAH2406.JPG";4;4;8,679;14;1;1
"1408";"GSAH2407.JPG";3,87;3,87;9,416;74;1;1
"1409";"GSAH2408.JPG";3,23;3,23;13,939;70;1;1
"1410";"GSAH2409.JPG";3,86;3,86;9,461;81;1;1
"1411";"GSAH2410.JPG";3,36;3,36;12,866;64;1;1
"1412";"GSAH2411.JPG";3,44;3,44;12,285;85;1;1
"1413";"GSAH2412.JPG";3,46;3,46;12,07;82;1;1
"1414";"GSAH2413.JPG";3,44;3,44;12,265;81;1;1
"1415";"GSAH2414.JPG";3,84;3,84;9,589;63;1;1
"1416";"GSAH2415.JPG";3,48;3,48;11,965;80;1;1
"1417";"GSAH2416.JPG";3,64;3,64;10,835;79;1;1
"1418";"GSAH2417.JPG";3,67;3,67;10,625;76;1;1
"1419";"GSAH2418.JPG";3,38;3,38;12,74;77;1;1
"1420";"GSAH2419.JPG";3,57;3,57;11,304;76;1;1
"1421";"GSAH2420.JPG";3,16;3,16;14,522;70;1;1
"1422";"GSAH2421.JPG";3,53;3,53;11,613;85;1;1
"1423";"GSAH2422.JPG";3,01;3,01;15,918;69;1;1
"1424";"GSAH2423.JPG";3,36;3,36;12,829;34;1;1
"1425";"GSAH2424.JPG";3,24;3,24;13,872;68;1;1
"1426";"GSAH2425.JPG";3,05;3,05;15,579;64;1;1
"1427";"GSAH2426.JPG";2,87;2,87;17,36;79;1;1
"1428";"GSAH2427.JPG";2,61;2,61;20,296;67;1;1
"1429";"GSAH2428.JPG";2,77;2,77;18,456;69;1;1
"1430";"GSAH2429.JPG";2,52;2,52;21,434;67;1;1
"1431";"GSAH2430.JPG";2,72;2,72;19,027;78;1;1
"1432";"GSAH2431.JPG";3,1;3,1;15,115;70;1;1
"1433";"GSAH2432.JPG";2,86;2,86;17,483;78;1;1
"1434";"GSAH2433.JPG";2,89;2,89;17,168;63;1;1
"1435";"GSAH2434.JPG";2,71;2,71;19,098;65;1;1
"1436";"GSAH2435.JPG";2,85;2,85;17,556;23;1;1
"1437";"GSAH2436.JPG";2,79;2,79;18,201;70;1;1
"1438";"GSAH2437.JPG";2,75;2,75;18,716;67;1;1
"1439";"GSAH2438.JPG";2,54;2,54;21,256;78;1;1
"1440";"GSAH2439.JPG";2,81;2,81;18,025;77;1;1
"1441";"GSAH2440.JPG";3,23;3,23;13,956;69;1;1
"1442";"GSAH2441.JPG";3,13;3,13;14,757;70;1;1
"1443";"GSAH2442.JPG";2,95;2,95;16,475;69;1;1
"1444";"GSAH2443.JPG";3,05;3,05;15,531;79;1;1
"1445";"GSAH2444.JPG";2,99;2,99;16,139;46;1;1
"1446";"GSAH2445.JPG";3,02;3,02;15,864;69;1;1
"1447";"GSAH2446.JPG";2,99;2,99;16,14;62;1;1
"1448";"GSAH2447.JPG";2,89;2,89;17,176;69;1;1
"1449";"GSAH2448.JPG";2,91;2,91;16,909;81;1;1
"1450";"GSAH2449.JPG";3,08;3,08;15,226;62;1;1
"1451";"GSAH2450.JPG";2,68;2,68;19,492;78;1;1
"1452";"GSAH2451.JPG";2,75;2,75;18,685;41;1;1
"1453";"GSAH2452.JPG";2,94;2,94;16,608;79;1;1
"1454";"GSAH2453.JPG";2,89;2,89;17,168;69;1;1
"1455";"GSAH2454.JPG";3,14;3,14;14,72;64;1;1
"1456";"GSAH2455.JPG";2,89;2,89;17,1;80;1;1
"1457";"GSAH2456.JPG";2,97;2,97;16,345;14;1;1
"1458";"GSAH2457.JPG";2,89;2,89;17,141;69;1;1
"1459";"GSAH2458.JPG";2,96;2,96;16,369;84;1;1
"1460";"GSAH2459.JPG";3,18;3,18;14,386;64;1;1
"1461";"GSAH2460.JPG";3,47;3,47;12,019;53;1;1
"1462";"GSAH2461.JPG";3,59;3,59;11,18;69;1;1
"1463";"GSAH2462.JPG";3,48;3,48;11,989;67;1;1
"1464";"GSAH2463.JPG";3,56;3,56;11,351;78;1;1
"1465";"GSAH2464.JPG";3,52;3,52;11,689;78;1;1
"1466";"GSAH2465.JPG";3,32;3,32;13,159;77;1;1
"1467";"GSAH2466.JPG";3,45;3,45;12,139;77;1;1
"1468";"GSAH2467.JPG";3,37;3,37;12,752;78;1;1
"1469";"GSAH2468.JPG";3,35;3,35;12,972;64;1;1
"1470";"GSAH2469.JPG";3,49;3,49;11,902;64;1;1
"1471";"GSAH2470.JPG";3,41;3,41;12,483;86;1;1
"1472";"GSAH2471.JPG";3,46;3,46;12,068;81;1;1
"1473";"GSAH2472.JPG";3,27;3,27;13,547;77;1;1
"1474";"GSAH2473.JPG";3,35;3,35;12,908;62;1;1
"1475";"GSAH2474.JPG";3,36;3,36;12,892;77;1;1
"1476";"GSAH2475.JPG";3,17;3,17;14,411;70;1;1
"1477";"GSAH2476.JPG";2,83;2,83;17,781;78;1;1
"1478";"GSAH2477.JPG";2,8;2,8;18,134;64;1;1
"1479";"GSAH2478.JPG";2,79;2,79;18,188;64;1;1
"1480";"GSAH2479.JPG";2,54;2,54;21,226;76;1;1
"1481";"GSAH2480.JPG";2,61;2,61;20,336;64;1;1
"1482";"GSAH2481.JPG";2,58;2,58;20,701;77;1;1
"1483";"GSAH2482.JPG";2,84;2,84;17,617;86;1;1
"1484";"GSAH2483.JPG";2,73;2,73;18,891;80;1;1
"1485";"GSAH2484.JPG";2,88;2,88;17,211;67;1;1
"1486";"GSAH2485.JPG";2,95;2,95;16,566;69;1;1
"1487";"GSAH2486.JPG";2,88;2,88;17,286;77;1;1
"1488";"GSAH2487.JPG";3,05;3,05;15,588;81;1;1
"1489";"GSAH2488.JPG";3,48;3,48;11,923;82;1;1
"1490";"GSAH2489.JPG";3,97;3,97;8,882;70;1;1
"1491";"GSAH2490.JPG";3,36;3,36;12,851;64;1;1
"1492";"GSAH2491.JPG";3,33;3,33;13,105;77;1;1
"1493";"GSAH2492.JPG";3,24;3,24;13,881;81;1;1
"1494";"GSAH2493.JPG";3,32;3,32;13,164;64;1;1
"1495";"GSAH2494.JPG";3,07;3,07;15,37;64;1;1
"1496";"GSAH2495.JPG";3,87;3,87;9,437;70;1;1
"1497";"GSAH2496.JPG";3,35;3,35;12,963;67;1;1
"1498";"GSAH2497.JPG";3,24;3,24;13,844;69;1;1
"1499";"GSAH2498.JPG";3,13;3,13;14,778;81;1;1
"1500";"GSAH2499.JPG";3,27;3,27;13,568;67;1;1
"1501";"GSAH2500.JPG";3,47;3,47;11,995;81;1;1
"1502";"GSAH2501.JPG";3,33;3,33;13,097;66;1;1
"1503";"GSAH2502.JPG";3,07;3,07;15,363;69;1;1
"1504";"GSAH2503.JPG";3,26;3,26;13,631;70;1;1
"1505";"GSAH2504.JPG";3,07;3,07;15,308;69;1;1
"1506";"GSAH2505.JPG";3,04;3,04;15,652;70;1;1
"1507";"GSAH2506.JPG";2,89;2,89;17,128;69;1;1
"1508";"GSAH2507.JPG";2,85;2,85;17,583;64;1;1
"1509";"GSAH2508.JPG";3,07;3,07;15,338;69;1;1
"1510";"GSAH2509.JPG";3,19;3,19;14,228;62;1;1
"1511";"GSAH2510.JPG";3,16;3,16;14,526;69;1;1
"1512";"GSAH2511.JPG";3,09;3,09;15,141;63;1;1
"1513";"GSAH2512.JPG";3,11;3,11;15,02;69;1;1
"1514";"GSAH2513.JPG";2,79;2,79;18,218;82;1;1
"1515";"GSAH2514.JPG";2,62;2,62;20,203;77;1;1
"1516";"GSAH2515.JPG";2,87;2,87;17,345;78;1;1
"1517";"GSAH2516.JPG";2,73;2,73;18,925;69;1;1
"1518";"GSAH2517.JPG";2,58;2,58;20,653;85;1;1
"1519";"GSAH2518.JPG";2,57;2,57;20,794;68;1;1
"1520";"GSAH2519.JPG";2,64;2,64;20,014;70;1;1
"1521";"GSAH2520.JPG";2,48;2,48;21,975;77;1;1
"1522";"GSAH2521.JPG";3,03;3,03;15,779;64;1;1
"1523";"GSAH2522.JPG";3,05;3,05;15,546;67;1;1
"1524";"GSAH2523.JPG";2,83;2,83;17,762;81;1;1
"1525";"GSAH2524.JPG";2,7;2,7;19,197;66;1;1
"1526";"GSAH2525.JPG";3,36;3,36;12,839;25;1;1
"1527";"GSAH2526.JPG";3,14;3,14;14,697;69;1;1
"1528";"GSAH2527.JPG";3,01;3,01;15,962;64;1;1
"1529";"GSAH2528.JPG";2,87;2,87;17,323;77;1;1
"1530";"GSAH2529.JPG";2,22;2,22;25,797;82;1;1
"1531";"GSAH2530.JPG";2,2;2,2;26,101;68;1;1
"1532";"GSAH2531.JPG";1,98;1,98;29,888;76;1;1
"1533";"GSAH2532.JPG";1,58;1,58;38,13;69;1;1
"1534";"GSAH2533.JPG";1,34;1,34;44,049;67;1;1
"1535";"GSAH2534.JPG";1,36;1,36;43,72;85;1;1
"1536";"GSAH2535.JPG";1,41;1,41;42,161;69;1;1
"1537";"GSAH2536.JPG";1,46;1,46;40,942;69;1;1
"1538";"GSAH2537.JPG";1,35;1,35;43,797;64;1;1
"1539";"GSAH2538.JPG";2,35;2,35;23,758;69;1;1
"1540";"GSAH2539.JPG";2,58;2,58;20,667;68;1;1
"1541";"GSAH2540.JPG";2,82;2,82;17,869;69;1;1
"1542";"GSAH2541.JPG";4,01;4,01;8,654;77;1;1
"1543";"GSAH2542.JPG";7,19;7,19;1,243;64;1;1
"1544";"GSAH2543.JPG";5,08;5,08;4,489;81;1;1
"1545";"GSAH2544.JPG";7,01;7,01;1,386;81;1;1
"1546";"GSAH2545.JPG";6,71;6,71;1,663;69;1;1
"1547";"GSAH2546.JPG";4,97;4,97;4,82;69;1;1
"1548";"GSAH2547.JPG";4,89;4,89;5,049;64;1;1
"1549";"GSAH2548.JPG";4,64;4,64;5,895;85;1;1
"1550";"GSAH2549.JPG";4,16;4,16;7,904;14;1;1
"1551";"GSAH2550.JPG";3,56;3,56;11,349;69;1;1
"1552";"GSAH2551.JPG";3,49;3,49;11,915;76;1;1
"1553";"GSAH2552.JPG";3,32;3,32;13,158;78;1;1
"1554";"GSAH2553.JPG";3,48;3,48;11,938;85;1;1
"1555";"GSAH2554.JPG";3,15;3,15;14,606;68;1;1
"1556";"GSAH2555.JPG";3,23;3,23;13,947;75;1;1
"1557";"GSAH2556.JPG";3,64;3,64;10,813;78;1;1
"1558";"GSAH2557.JPG";3,67;3,67;10,646;61;1;1
"1559";"GSAH2558.JPG";3,79;3,79;9,917;82;1;1
"1560";"GSAH2559.JPG";3,92;3,92;9,131;79;1;1
"1561";"GSAH2560.JPG";4,01;4,01;8,631;14;1;1
"1562";"GSAH2561.JPG";4,01;4,01;8,648;66;1;1
"1563";"GSAH2562.JPG";3,87;3,87;9,396;66;1;1
"1564";"GSAH2563.JPG";3,47;3,47;12,017;69;1;1
"1565";"GSAH2564.JPG";3,25;3,25;13,786;70;1;1
"1566";"GSAH2565.JPG";3,24;3,24;13,858;78;1;1
"1567";"GSAH2566.JPG";3,85;3,85;9,552;74;1;1
"1568";"GSAH2567.JPG";3,85;3,85;9,556;78;1;1
"1569";"GSAH2568.JPG";3,72;3,72;10,325;81;1;1
"1570";"GSAH2569.JPG";3,42;3,42;12,393;58;1;1
"1571";"GSAH2570.JPG";3,54;3,54;11,52;81;1;1
